user_id,recipe_id,review,predicted_tuples
357358,391707,"I found this recipe on another site and was happy to see it already posted here. I used Kahlua in place of the instant coffee dissolved in water and mixed extra marshmallows into the batter.  I made 4 batches and baked the entire mixture in a 9"" x13"" pan until the sides pulled away from the pan and a toothpick pulled out cleanly. This yielded some seriously yummy brownies!","[('recipe', 'happy', 'positive'), ('site', 'happy', 'positive'), ('Kahlua', 'used', 'neutral'), ('instant coffee', 'dissolved', 'neutral'), ('water', 'dissolved', 'neutral'), ('marshmallows', 'mixed', 'neutral'), ('batter', 'mixed', 'neutral'), ('batches', 'made', 'neutral'), ('mixture', 'baked', 'neutral'), ('9"" x13"" pan', 'baked', 'neutral'), ('sides', 'pulled away', 'positive'), ('pan', 'pulled away', 'positive'), ('toothpick', 'pulled out', 'positive'), ('brownies', 'yummy', 'positive')]"
822804,50732,My husband is very picky about his chili and he absolutely loves this recipe.  We made it today for the first time.  Followed the recipe as written but did cut the brown sugar in half.  This will be a keeper.,"[('chili', 'picky', 'negative'), ('recipe', 'loves', 'positive'), ('recipe', 'cut', 'neutral'), ('brown sugar', 'half', 'neutral'), ('keeper', '', 'neutral')]"
324677,171215,I stole a taste of this right before wrapping it up and putting it in the fridge for tomorrow's barbeque.  The taste is out of this world.  Can't wait to try it once the flavours have blended together! I predict no leftovers.  Thank you so much for posting!,"[('taste', 'out of this world', 'positive'), ('flavours', 'blended together', 'neutral'), ('leftovers', 'no leftovers', 'negative')]

    [('taste', 'out of this world', 'positive'), ('flavours', 'blended together', 'neutral'), ('leftovers', 'no leftovers', 'negative')]"
29063,67192,Needed a quick dessert and wanted to use up some apples I had. This was great tasting and simple to do! Got rave reviews and I will be making it again!,"[('dessert', 'quick', 'positive'), ('apples', 'use up', 'neutral'), ('tasting', 'great', 'positive'), ('simple', 'simple', 'positive'), ('reviews', 'rave', 'positive'), ('making', 'will be', 'positive')]

    [('dessert', 'quick', 'positive'), ('apples', 'use up', 'neutral'), ('tasting', 'great', 'positive'), ('simple', 'simple', 'positive'), ('reviews', 'rave', 'positive'), ('making', 'will be', 'positive')]"
1002265,45896,"So easy and fast.  Wonderful flavor, very moist.  Thank you!","[('flavor', 'wonderful', 'positive'), ('moist', 'very', 'positive')]

    [('flavor', 'wonderful', 'positive'), ('moist', 'very', 'positive')]"
233839,63986,"This was really good.  I used 3 boneless porkchops and cooked the whole thing in a covered electric skillet for 1 hour, and the meat was tender.  Served it with brown rice, and the gravy over the rice was just like what my grandmother cooked! Yumm!","[('porkchops', 'good', 'positive'), ('meat', 'tender', 'positive'), ('rice', 'just like', 'positive'), ('gravy', 'just like', 'positive')]

    [('porkchops', 'good', 'positive'), ('meat', 'tender', 'positive'), ('rice', 'just like', 'positive'), ('gravy', 'just like', 'positive')]"
346101,320392,"Very tasty and quick, too!  Next time I will cut the salt in half, or leave it out entirely, as I found it too salty.  I ended up with 12 pieces of flat bread, and they were rather thick.  Next time I&#039;ll try to roll them so they&#039;re thinner.","[('tasty', 'Very', 'positive'), ('quick', 'quick', 'positive'), ('salt', 'cut the salt in half', 'negative'), ('salt', 'leave it out entirely', 'negative'), ('flat bread', 'too salty', 'negative'), ('flat bread', 'rather thick', 'negative'), ('flat bread', 'try to roll them so they&#039;re thinner', 'neutral')]

[('tasty', 'Very', 'positive'), ('quick', 'quick', 'positive'), ('salt', 'cut the salt in half', 'negative'), ('salt', 'leave it out entirely', 'negative'), ('flat bread', 'too salty', 'negative'), ('flat bread', 'rather thick', 'negative'), ('flat bread', 'try to roll them so they&#039;re thinner', 'neutral')]"
406741,82288,"This was incredible! I had never eaten nor cooked gumbo, and was happy to see that the directions were easy to follow and the outcome DELICIOUS. I cooked it for a Mardi Gras themed dinner party and my guests couldn't stop raving about it. I was lucky to grab half a bowl while cooking the rest of dinner because my guests destroyed it.","[('gumbo', 'incredible', 'positive'), ('directions', 'easy to follow', 'positive'), ('outcome', 'DELICIOUS', 'positive'), ('guests', 'couldn't stop raving about it', 'positive'), ('guests', 'destroyed it', 'positive')]

    [('gumbo', 'incredible', 'positive'), ('directions', 'easy to follow', 'positive'), ('outcome', 'DELICIOUS', 'positive'), ('guests', 'couldn't stop raving about it', 'positive'), ('guests', 'destroyed it', 'positive')]"
157425,193881,"My grandma's fruitcake recipe was never written down so no one really knows what all went into it. There was a Polish bakery that had a cookie very similar to a fruitcake and this recipe brought back wonderful memories. I used rum extract, raisins, and maraschino cherries for the dried fruit.and also the garnish. Very addictive and very delicious! Mikekey thank you so much for great memories during a difficult time. Food always brings a family closer together! Made and reviewed for the Please Review My Recipe Tag Game.","[('fruitcake', 'never written down', 'neutral'), ('Polish bakery', 'very similar', 'positive'), ('recipe', 'brought back wonderful memories', 'positive'), ('rum extract', 'addictive', 'positive'), ('raisins', 'delicious', 'positive'), ('maraschino cherries', 'delicious', 'positive'), ('Mikekey', 'great memories', 'positive'), ('Food', 'brings a family closer together', 'positive')]"
149075,61220,"I really wanted this recipe to work, but it didn't. I also got rubbery results, and I'm guessing it had something to do with the quality of my eggs, or just not beating them the right amount of time.  The flavor was spot on, but texture didn't work for what I needed the cake for.","[('recipe', 'wanted', 'positive'), ('recipe', 'work', 'positive'), ('results', 'rubbery', 'negative'), ('eggs', 'quality', 'neutral'), ('eggs', 'beating', 'neutral'), ('flavor', 'spot on', 'positive'), ('texture', 'work', 'negative')]"
